"","species_code","sample","phenSumTIC","sapSumTIC","logPhen","logSap","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"359","M61","M61_798_2",1035296.069663,2422.091856,13.8501980014203,7.79238684907513,0.997665944429021,0.00233405557097947,33.2,0.138466666666667,0.294317698738841,0.705682301261159,0.704035199554559,0.00164710170660022
"360","M61","M61_1826",2041584.896659,14414.199311,14.5292369743089,9.57596906298695,0.992989199587075,0.00701080041292505,33.2,0.138466666666667,0.294317698738841,0.705682301261159,0.700734903492083,0.00494739776907563
"361","M62","M62_1862",1187416.071193,19897.604773,13.9872901355031,9.89835464030253,0.983519109267871,0.0164808907321285,31.08,0.100966666666667,0.245203594268599,0.754796405731401,0.742356688643539,0.0124397170878625
"362","M62","M62_1798",363580.693769,3092.059697,12.8037565424307,8.03659271644202,0.991567249903975,0.00843275009602456,31.08,0.100966666666667,0.245203594268599,0.754796405731401,0.748431396268491,0.00636500946291046
"363","M62","M62_801",1641533.360671,12214.524101,14.3111413390015,9.41038102272002,0.992614034936357,0.0073859650636433,31.08,0.100966666666667,0.245203594268599,0.754796405731401,0.749221505848505,0.00557489988289566
"364","M62","M62_799",624095.156824,17751.879674,13.3440581306357,9.78424668642362,0.972342507381733,0.027657492618267,31.08,0.100966666666667,0.245203594268599,0.754796405731401,0.73392062971159,0.0208757760198107
"365","M62","M62_800",2105090.412184,18262.012027,14.5598689753325,9.81257833575673,0.991399443719859,0.00860055628014075,31.08,0.100966666666667,0.245203594268599,0.754796405731401,0.74830473676386,0.00649166896754087
"366","M63","M63_784_2",4094397.399044,300206.783106,15.2251301091403,12.612226793216,0.93168741241239,0.0683125875876102,51.225,0.0466666666666667,0.0834948561204712,0.916505143879529,0.853896305963763,0.0626088379157656
"367","M63","M63_783_2",5068439.035356,73717.927782,15.438543445589,11.2080013020832,0.985664006697879,0.0143359933021208,51.225,0.0466666666666667,0.0834948561204712,0.916505143879529,0.903366132275513,0.0131390116040162
"368","M63","M63_1410",1636863.328802,2890.931556,14.3082923640481,7.9693340668831,0.998236972681889,0.00176302731811097,51.225,0.0466666666666667,0.0834948561204712,0.916505143879529,0.91488932027368,0.00161582360584883
"369","M63","M63_1403_2",8239371.659346,192479.388193,15.9244346440444,12.167744352655,0.977172344825852,0.0228276551741481,51.225,0.0466666666666667,0.0834948561204712,0.916505143879529,0.895583480489714,0.0209216633898149
"370","M70","M70_1367",16497181.919045,270558.876118,16.6187001314989,12.5082450102134,0.983864321411979,0.0161356785880211,47.5,0,0,1,0.983864321411979,0.0161356785880211
"371","M70","M70_1379",9884030.505564,252874.379143,16.106430932444,12.4406481192738,0.975054083862965,0.0249459161370349,47.5,0,0,1,0.975054083862965,0.0249459161370349
"372","M70","M70_1812",10708648.660274,304418.275062,16.1865622589518,12.6261579395079,0.972358446847784,0.0276415531522158,47.5,0,0,1,0.972358446847784,0.0276415531522158
"373","M71","M71_804_3",417962.29114,8858.594483,12.9431464948538,9.08914339478482,0.979245171027491,0.0207548289725086,42.73333333,0,0,1,0.979245171027491,0.0207548289725086
"374","M71","M71_805_3",354201.718602,10572.43252,12.7776218563857,9.26600518672992,0.971016497502686,0.0289835024973138,42.73333333,0,0,1,0.971016497502686,0.0289835024973138
"375","M71","M71_1848",520306.29182,8890.680998,13.1621729398826,9.09275892827378,0.983199675253891,0.0168003247461086,42.73333333,0,0,1,0.983199675253891,0.0168003247461086
"376","M8","M8_1446",3498628.53317,32150.935258,15.0678816020016,10.3781968196937,0.99089409702716,0.00910590297283973,37.52,0,0,1,0.99089409702716,0.00910590297283973
"377","M8","M8_1447_2",1680048.084773,12723.090158,14.3343329728585,9.4511737443394,0.992483868849835,0.00751613115016482,37.52,0,0,1,0.992483868849835,0.00751613115016482
"378","M8","M8_738_2",719653.15899,2315.556051,13.4865246513011,7.74740513249459,0.996792719680563,0.0032072803194367,37.52,0,0,1,0.996792719680563,0.0032072803194367
"379","M8","M8_739_2",663598.713483,4007.863793,13.4054328986031,8.2960136584048,0.993996668203371,0.0060033317966295,37.52,0,0,1,0.993996668203371,0.0060033317966295
"380","M8","M8_740_2",423864.880569,5142.336095,12.9571700055222,8.54526274838913,0.988013404214998,0.0119865957850017,37.52,0,0,1,0.988013404214998,0.0119865957850017
"381","M9","M9_743",4453970.973989,35436.246525,15.3093066099369,10.475490488416,0.992106698104134,0.00789330189586652,51.86,0,0,1,0.992106698104134,0.00789330189586652
"382","M9","M9_1684",13795814.006697,159046.834125,16.4398757712647,11.9769539920751,0.988602764589401,0.0113972354105992,51.86,0,0,1,0.988602764589401,0.0113972354105992
"383","M9","M9_1691",7030972.55845,93387.589212,15.7658355982367,11.444513737572,0.986891792767853,0.0131082072321466,51.86,0,0,1,0.986891792767853,0.0131082072321466
"384","M9","M9_741",9115233.414926,258378.19548,16.0254575735483,12.4621796645128,0.972435576998607,0.027564423001393,51.86,0,0,1,0.972435576998607,0.027564423001393
"385","M9","M9_742",3446676.377688,35019.53956,15.0529209558835,10.4636614578379,0.989941815600117,0.010058184399883,51.86,0,0,1,0.989941815600117,0.010058184399883
"386","N1","N1_1250",1036398.85858,211190.954277,13.851262626338,12.2605179997692,0.830720841016352,0.169279158983648,34,0,0,1,0.830720841016352,0.169279158983648
"387","N1","N1_1308_MS_NEG",119810.358224,653665.673398,11.6936654235635,13.3903512969753,0.154898604902798,0.845101395097202,34,0,0,1,0.154898604902798,0.845101395097202
"388","N1","N1_1310_MS_NEG",101890.85701,565675.060121,11.5316574900626,13.2457750936014,0.152630406069706,0.847369593930294,34,0,0,1,0.152630406069706,0.847369593930294
"389","N1","N1_1311_2",848599.322729,6882546.826479,13.6513424136461,15.7444993196778,0.109763715023798,0.890236284976202,34,0,0,1,0.109763715023798,0.890236284976202
"390","N1","N1_2133",902630.617035,4802352.602384,13.7130686867337,15.3846164813025,0.158217926735098,0.841782073264902,34,0,0,1,0.158217926735098,0.841782073264902
"391","N10","N10_1248",8779272.27363,14598.823861,15.9879040776238,9.58869624698575,0.998339886530158,0.00166011346984211,55.85,0,0,1,0.998339886530158,0.00166011346984211
"392","N10","N10_1369",16826296.839056,66262.61134,16.6384535086261,11.1013810855814,0.996077408427386,0.00392259157261374,55.85,0,0,1,0.996077408427386,0.00392259157261374
"393","N10","N10_1857",14912435.557383,55668.340749,16.5177060239964,10.9271668756139,0.996280868897767,0.00371913110223315,55.85,0,0,1,0.996280868897767,0.00371913110223315
