"","sample","phenSumTIC","sapSumTIC","species_code","logPhen","logSap","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"236","N1_1310_MS_NEG",459109.497727,4183123.471639,"N1",13.0370440177319,15.2465687674735,0.0988984182303331,0.901101581769667,34,0,0,1,0.0988984182303331,0.901101581769667
"237","N1_1311_2",2962559.857136,37023816.044662,"N1",14.9015642691618,17.4270719404201,0.0740892314025085,0.925910768597492,34,0,0,1,0.0740892314025085,0.925910768597492
"238","N1_2133",4254131.889327,27052834.734261,"N1",15.2634012778647,17.113302353857,0.135884512238939,0.864115487761061,34,0,0,1,0.135884512238939,0.864115487761061
"239","N10_1248",30565017.112643,125531.077364,"N10",17.2353666813219,11.7403086352975,0.995909780542634,0.00409021945736615,55.85,0,0,1,0.995909780542634,0.00409021945736615
"240","N10_1369",55347072.270187,457076.898925,"N10",17.8291343208724,13.0326069247032,0.99180926677083,0.00819073322916991,55.85,0,0,1,0.99180926677083,0.00819073322916991
"241","N10_1857",49324363.985761,405680.282409,"N10",17.7139287154312,12.913320646606,0.99184235026574,0.0081576497342605,55.85,0,0,1,0.99184235026574,0.0081576497342605
"242","N11_1274_2",2416371.632723,11473.261551,"N11",14.6977776476988,9.34777452462811,0.995274302086571,0.00472569791342904,20.94,0,0,1,0.995274302086571,0.00472569791342904
"243","N11_1522",4321667.483737,20739.888031,"N11",15.2791518773505,9.93981408307078,0.995223873244634,0.00477612675536607,20.94,0,0,1,0.995223873244634,0.00477612675536607
"244","N11_1551",3793521.726306,12193.746826,"N11",15.1488053609894,9.4086785440741,0.996795938395267,0.00320406160473286,20.94,0,0,1,0.996795938395267,0.00320406160473286
"245","N11_1552",3997270.174442,46083.195099,"N11",15.2011222297153,10.7382036310519,0.98860272875328,0.0113972712467205,20.94,0,0,1,0.98860272875328,0.0113972712467205
"246","N11_1668",4168175.718871,264306.317676,"N11",15.2429890205648,12.4848640037346,0.940370583457141,0.0596294165428588,20.94,0,0,1,0.940370583457141,0.0596294165428588
"247","N12_1543",1021191.548352,41015.55847,"N12",13.8364806881225,10.6217067485821,0.961386477075348,0.0386135229246524,28.26,0,0,1,0.961386477075348,0.0386135229246524
"248","N12_1544",2541088.504472,47232.703949,"N12",14.7481030922632,10.7628418119184,0.98175160648712,0.0182483935128802,28.26,0,0,1,0.98175160648712,0.0182483935128802
"249","N12_1553",3509366.205784,68436.579406,"N12",15.070946010985,11.1336627473007,0.980871897218794,0.0191281027812062,28.26,0,0,1,0.980871897218794,0.0191281027812062
"250","N12_1696",2047176.740614,65085.227525,"N12",14.531972202203,11.0834528827076,0.969186952893753,0.0308130471062465,28.26,0,0,1,0.969186952893753,0.0308130471062465
"251","N12_1702",2120597.806594,87624.180358,"N12",14.5672085911406,11.3808122703188,0.960319125126117,0.0396808748738832,28.26,0,0,1,0.960319125126117,0.0396808748738832
"252","N13_1545",7615676.182252,11894560.699436,"N13",15.8457193364628,16.291591769506,0.390342579048846,0.609657420951154,41.18571429,0,0,1,0.390342579048846,0.609657420951154
"253","N13_1546",8759341.67009,9783805.266726,"N13",15.9856313082723,16.0962390529137,0.472376220710358,0.527623779289642,41.18571429,0,0,1,0.472376220710358,0.527623779289642
"254","N13_1692",8546763.712203,8487180.538114,"N13",15.9610632560661,15.9540674110378,0.501748954123995,0.498251045876005,41.18571429,0,0,1,0.501748954123995,0.498251045876005
