"","species_code","sample","phenSumTIC","sapSumTIC","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"426","N15","N15_1820",432.945586780003,15.8842333406837,0.964609674694938,0.0353903253050622,28.6,0,0,1,0.964609674694938,0.0353903253050622
"427","N16","N16_1882",478.673675576731,8.67584428346535,0.982197901239435,0.0178020987605654,28.81666667,0.0533666666666667,0.15625609992619,0.84374390007381,0.828723487836071,0.0150204122377386
"428","N16","N16_1771",436.184714973236,7.14054503570014,0.983893214125547,0.016106785874453,28.81666667,0.0533666666666667,0.15625609992619,0.84374390007381,0.830153897742445,0.0135900023313647
"429","N16","N16_1772",418.36798257768,7.67171994540733,0.981992945962609,0.0180070540373913,28.81666667,0.0533666666666667,0.15625609992619,0.84374390007381,0.828550558071461,0.0151933420023484
"430","N16","N16_1770",440.854560709786,7.4507612560113,0.983380163270558,0.0166198367294416,28.81666667,0.0533666666666667,0.15625609992619,0.84374390007381,0.829721014213121,0.014022885860689
"431","N16","N16_1865",446.832985388125,7.50749170468752,0.983476066775459,0.0165239332245405,28.81666667,0.0533666666666667,0.15625609992619,0.84374390007381,0.829801932210377,0.013941967863433
"432","N18","N18_1774",474.514788837817,6.14367305642821,0.987218215128854,0.0127817848711461,39.28,0,0,1,0.987218215128854,0.0127817848711461
"433","N18","N18_1775",470.141973216609,7.27250519242229,0.984766894341668,0.0152331056583321,39.28,0,0,1,0.984766894341668,0.0152331056583321
"434","N18","N18_1821",515.041971377747,8.43591551982191,0.98388486747775,0.0161151325222504,39.28,0,0,1,0.98388486747775,0.0161151325222504
"435","N18","N18_1850",520.047261684426,9.04671464196534,0.982901497566125,0.0170985024338749,39.28,0,0,1,0.982901497566125,0.0170985024338749
"436","N18","N18_1871",514.430642783908,8.87694174896149,0.983036856312936,0.0169631436870641,39.28,0,0,1,0.983036856312936,0.0169631436870641
"437","N19","N19_1867",674.075545720696,27.8103889056567,0.960377623295071,0.0396223767049293,29.24,0,0,1,0.960377623295071,0.0396223767049293
"438","N19","N19_1818",646.10283777369,26.4461527038921,0.960677730428065,0.0393222695719348,29.24,0,0,1,0.960677730428065,0.0393222695719348
"439","N19","N19_1839",697.886542635237,28.3979253419669,0.960899720985279,0.0391002790147211,29.24,0,0,1,0.960899720985279,0.0391002790147211
"440","N19","N19_1847",697.895029194975,26.8789096162128,0.962914078201679,0.037085921798321,29.24,0,0,1,0.962914078201679,0.037085921798321
"441","N19","N19_1861",661.9876939532,26.8803427867893,0.960978966430206,0.0390210335697941,29.24,0,0,1,0.960978966430206,0.0390210335697941
"442","N20","N20_1631",680.995370797427,258.187932922009,0.725093140072326,0.274906859927674,52.24,0,0,1,0.725093140072326,0.274906859927674
"443","N20","N20_1721_2",644.327134884715,243.779886099282,0.725506182994499,0.274493817005501,52.24,0,0,1,0.725506182994499,0.274493817005501
"444","N20","N20_2141",654.737948894915,263.077785901163,0.713365356544455,0.286634643455545,52.24,0,0,1,0.713365356544455,0.286634643455545
"445","N21","N21_1726_2",599.773795842942,23.6604317777011,0.962048231025105,0.0379517689748955,43.01428571,0.0983666666666667,0.186120897057089,0.813879102942911,0.782990951254527,0.0308881516883846
"446","N21","N21_1727_2",616.801639681515,24.6123134624268,0.961628035464792,0.0383719645352079,43.01428571,0.0983666666666667,0.186120897057089,0.813879102942911,0.782648962868839,0.0312301400740722
"447","N21","N21_1851",550.918645651833,19.8756570707817,0.96517894979684,0.0348210502031596,43.01428571,0.0983666666666667,0.186120897057089,0.813879102942911,0.785538977840034,0.0283401251028776
"448","N21","N21_1873",645.87216052178,26.1726582526421,0.961055189294708,0.0389448107052919,43.01428571,0.0983666666666667,0.186120897057089,0.813879102942911,0.782182735341807,0.0316963676011045
"449","N21","N21_1632",576.923214598637,21.4838972869359,0.964098191916135,0.0359018080838653,43.01428571,0.0983666666666667,0.186120897057089,0.813879102942911,0.784659371585587,0.0292197313573248
"450","N22","N22_1802",432.14544236191,233.860343481748,0.648861393620616,0.351138606379384,38.74,0,0,1,0.648861393620616,0.351138606379384
"451","N22","N22_1822",497.394707776972,273.511909712281,0.645207469352027,0.354792530647973,38.74,0,0,1,0.645207469352027,0.354792530647973
"452","N22","N22_1869",502.940329597162,267.65665937783,0.652663242645351,0.347336757354649,38.74,0,0,1,0.652663242645351,0.347336757354649
"453","N22","N22_1797",405.413289617521,217.695764610574,0.650629752314778,0.349370247685222,38.74,0,0,1,0.650629752314778,0.349370247685222
"454","N22","N22_1801",427.972061569493,228.525074465144,0.65190240456268,0.34809759543732,38.74,0,0,1,0.65190240456268,0.34809759543732
"455","N23","N23_1804",509.604796370579,5.52684201376139,0.989271010355536,0.0107289896444641,43,0,0,1,0.989271010355536,0.0107289896444641
"456","N23","N23_1805",520.290728011314,6.40723668812014,0.987835083638919,0.0121649163610809,43,0,0,1,0.987835083638919,0.0121649163610809
"457","N23","N23_1819",606.295466053552,7.75490800026574,0.987370892799772,0.012629107200228,43,0,0,1,0.987370892799772,0.012629107200228
"458","N23","N23_1856",582.366101417871,8.16961491845146,0.9861657564607,0.0138342435392996,43,0,0,1,0.9861657564607,0.0138342435392996
"459","N23","N23_1864",582.818701277996,7.30884897972963,0.987614797891511,0.0123852021084893,43,0,0,1,0.987614797891511,0.0123852021084893
"460","N24","N24_1331",393.916624575893,0,1,0,40.9,0,0,1,1,0
"461","N24","N24_1344",419.232571883987,0,1,0,40.9,0,0,1,1,0
"462","N24","N24_1354",402.880507294923,0,1,0,40.9,0,0,1,1,0
"463","N25","N25_1289_2",448.307753564463,8.32283603246136,0.981773371688025,0.0182266283119755,44.41666667,0.1482,0.25018288220977,0.74981711779023,0.736150479882311,0.0136666379079193
"464","N25","N25_1271_2",467.940942427365,8.48397469605964,0.982192420272045,0.0178075797279548,44.41666667,0.1482,0.25018288220977,0.74981711779023,0.736464689683795,0.0133524281064348
"465","N25","N25_1288_2",461.697292848117,8.37178399326643,0.982190311156989,0.0178096888430109,44.41666667,0.1482,0.25018288220977,0.74981711779023,0.736463108233223,0.0133540095570073
"466","N25","N25_1312_2",433.049381136327,8.36564336310722,0.981048122744363,0.0189518772556369,44.41666667,0.1482,0.25018288220977,0.74981711779023,0.735606675809694,0.0142104419805359
"467","N25","N25_1269_2",462.358765776456,8.44156227247524,0.982069761277656,0.0179302387223441,44.41666667,0.1482,0.25018288220977,0.74981711779023,0.736372717870151,0.0134443999200788
"468","N26","N26_1872",619.750871460615,8.87260443321966,0.985885661650476,0.0141143383495244,37.51428571,0,0,1,0.985885661650476,0.0141143383495244
"469","N26","N26_1879",585.956265429398,8.76455133279357,0.985262746677492,0.0147372533225085,37.51428571,0,0,1,0.985262746677492,0.0147372533225085
"470","N26","N26_1338",603.589254277278,7.80144839722231,0.987239831480761,0.0127601685192386,37.51428571,0,0,1,0.987239831480761,0.0127601685192386
"471","N26","N26_1339",604.954071967407,7.94299071817746,0.987040253246813,0.0129597467531872,37.51428571,0,0,1,0.987040253246813,0.0129597467531872
"472","N26","N26_1348",607.216045260075,7.8899642672213,0.987173000840482,0.0128269991595183,37.51428571,0,0,1,0.987173000840482,0.0128269991595183
"473","N27","N27_1645",254.161509414047,226.187329056583,0.529118609349125,0.470881390650875,25.5,0,0,1,0.529118609349125,0.470881390650875
"474","N27","N27_1803",213.785620929844,217.906114651171,0.495227504511082,0.504772495488918,25.5,0,0,1,0.495227504511082,0.504772495488918
"475","N27","N27_1806",230.56878783644,224.172946714625,0.507032388536021,0.492967611463979,25.5,0,0,1,0.507032388536021,0.492967611463979
"476","N27","N27_1807",219.548714366893,216.755139971088,0.503201409256451,0.496798590743549,25.5,0,0,1,0.503201409256451,0.496798590743549
"477","N28","N28_1841",428.816778503092,0,1,0,31.12,0,0,1,1,0
"478","N28","N28_1251",381.46371079697,0,1,0,31.12,0,0,1,1,0
"479","N28","N28_1823",421.2830676101,0,1,0,31.12,0,0,1,1,0
"480","N28","N28_1838",397.055013667655,0,1,0,31.12,0,0,1,1,0
"481","N28","N28_1840",399.221080755281,0,1,0,31.12,0,0,1,1,0
"482","N29","N29_1656",392.110721436438,26.0909921745251,0.93761146517253,0.0623885348274697,43.58,0,0,1,0.93761146517253,0.0623885348274697
"483","N29","N29_1653",408.370298567998,24.0477209415011,0.944387791774314,0.0556122082256862,43.58,0,0,1,0.944387791774314,0.0556122082256862
"484","N29","N29_1654",420.494380057311,25.3668019765464,0.943106054084295,0.0568939459157046,43.58,0,0,1,0.943106054084295,0.0568939459157046
"485","N29","N29_1655",420.027005917891,26.8239251882503,0.939971199966284,0.0600288000337158,43.58,0,0,1,0.939971199966284,0.0600288000337158
"486","N29","N29_1657",409.704855890209,25.8866351813838,0.940571301983653,0.0594286980163467,43.58,0,0,1,0.940571301983653,0.0594286980163467
"487","N3","N3_1303_MS_NEG",119.157916730439,161.37210964584,0.424759938426736,0.575240061573264,43.98,0,0,1,0.424759938426736,0.575240061573264
"488","N3","N3_1304_MS_NEG",117.539354424579,164.240574557371,0.417131748344319,0.582868251655681,43.98,0,0,1,0.417131748344319,0.582868251655681
"489","N3","N3_1305_MS_NEG",117.641592253311,150.50254790644,0.438725202733217,0.561274797266783,43.98,0,0,1,0.438725202733217,0.561274797266783
"490","N3","N3_1306_MS_NEG",118.400222828879,162.145799742166,0.422034936527733,0.577965063472267,43.98,0,0,1,0.422034936527733,0.577965063472267
"491","N3","N3_1307_MS_NEG",123.154123605469,157.890259396848,0.438201690031479,0.561798309968522,43.98,0,0,1,0.438201690031479,0.561798309968522
"492","N31","N31_1332",692.3733502393,306.985373584647,0.692817637684696,0.307182362315304,32.98333333,0,0,1,0.692817637684696,0.307182362315304
"493","N31","N31_1333",685.547785388591,292.944164019995,0.700616684483654,0.299383315516346,32.98333333,0,0,1,0.700616684483654,0.299383315516346
"494","N31","N31_1334",657.945096697825,298.643735537474,0.687803447548492,0.312196552451508,32.98333333,0,0,1,0.687803447548492,0.312196552451508
"495","N31","N31_1345",717.998581619412,290.830441836309,0.711714834650498,0.288285165349502,32.98333333,0,0,1,0.711714834650498,0.288285165349502
"496","N31","N31_1471",668.904353241058,285.856323492364,0.700598976834298,0.299401023165702,32.98333333,0,0,1,0.700598976834298,0.299401023165702
"497","N32","N32_1633",334.16823810169,439.476137886021,0.43194037011522,0.56805962988478,32.11428571,0,0,1,0.43194037011522,0.56805962988478
"498","N32","N32_1814",355.367097004387,442.363015243661,0.445472837928786,0.554527162071214,32.11428571,0,0,1,0.445472837928786,0.554527162071214
"499","N32","N32_2164",323.660461159114,432.948423164525,0.427777769816232,0.572222230183768,32.11428571,0,0,1,0.427777769816232,0.572222230183768
"500","N32","N32_2192",329.286743891375,425.262665692377,0.436401830958991,0.563598169041009,32.11428571,0,0,1,0.436401830958991,0.563598169041009
"501","N32","N32_2160",324.842208153125,462.713929604136,0.41246863884292,0.58753136115708,32.11428571,0,0,1,0.41246863884292,0.58753136115708
"502","N34","N34_1335",627.469331305009,798.901293438394,0.439906235041743,0.560093764958257,45.6,0,0,1,0.439906235041743,0.560093764958257
"503","N34","N34_1336",649.069283504339,837.030919552145,0.43676010686856,0.56323989313144,45.6,0,0,1,0.43676010686856,0.56323989313144
"504","N34","N34_1346",669.1479325618,784.156403477741,0.460432076040812,0.539567923959188,45.6,0,0,1,0.460432076040812,0.539567923959188
"505","N34","N34_1347",639.314872004534,784.679298137688,0.448958911075234,0.551041088924766,45.6,0,0,1,0.448958911075234,0.551041088924766
"506","N34","N34_2134",555.80935717483,769.04326155303,0.41952542442685,0.58047457557315,45.6,0,0,1,0.41952542442685,0.58047457557315
"507","N35","N35_1870",486.056810739013,332.944996474368,0.593474649821349,0.406525350178651,43.6,0,0,1,0.593474649821349,0.406525350178651
"508","N35","N35_1768",479.808964962237,259.528549887186,0.648971485046253,0.351028514953746,43.6,0,0,1,0.648971485046253,0.351028514953746
"509","N35","N35_1769",474.109629040636,249.810935292064,0.654919410222396,0.345080589777604,43.6,0,0,1,0.654919410222396,0.345080589777604
"510","N35","N35_1836",502.088720923895,337.730691676814,0.597853197235645,0.402146802764355,43.6,0,0,1,0.597853197235645,0.402146802764355
"511","N35","N35_1845",510.041309970313,317.933652234963,0.616010547724583,0.383989452275417,43.6,0,0,1,0.616010547724583,0.383989452275417
"512","N36","N36_1501",665.340945326165,276.602360609537,0.706349247490254,0.293650752509746,39,0,0,1,0.706349247490254,0.293650752509746
"513","N36","N36_1502",661.515079791509,264.314874346354,0.714510344837044,0.285489655162956,39,0,0,1,0.714510344837044,0.285489655162956
"514","N36","N36_1503",575.517939061839,244.985356933471,0.701420630326302,0.298579369673698,39,0,0,1,0.701420630326302,0.298579369673698
"515","N36","N36_1506",679.42027979555,251.945258794589,0.72948831757725,0.27051168242275,39,0,0,1,0.72948831757725,0.27051168242275
"516","N36","N36_1507",642.247806368038,264.508208529855,0.708291751933247,0.291708248066753,39,0,0,1,0.708291751933247,0.291708248066753
"517","N37","N37_1330",694.314959135672,30.991913491753,0.957270619290446,0.0427293807095537,32.98,0,0,1,0.957270619290446,0.0427293807095537
"518","N37","N37_1652",604.143917758422,31.5162221067188,0.950419697366261,0.0495803026337394,32.98,0,0,1,0.950419697366261,0.0495803026337394
"519","N37","N37_1327",696.641028221304,34.5666382157956,0.95272664688511,0.0472733531148899,32.98,0,0,1,0.95272664688511,0.0472733531148899
"520","N37","N37_1328",680.43844598563,33.4413138342671,0.953155537225619,0.0468444627743808,32.98,0,0,1,0.953155537225619,0.0468444627743808
"521","N37","N37_1329",700.597484233022,32.9572425447156,0.955071869430266,0.0449281305697338,32.98,0,0,1,0.955071869430266,0.0449281305697338
"522","N38","N38_1722_2",392.637545488211,31.5946071823002,0.925525194204601,0.0744748057953986,46.31666667,0,0,1,0.925525194204601,0.0744748057953986
"523","N38","N38_1723_2",410.922027582847,33.6038884437347,0.924405108381296,0.0755948916187042,46.31666667,0,0,1,0.924405108381296,0.0755948916187042
"524","N38","N38_1724_2",404.48431051657,37.8961275845321,0.914335887574054,0.0856641124259461,46.31666667,0,0,1,0.914335887574054,0.0856641124259461
"525","N38","N38_1725_2",387.059394108699,32.5257315884679,0.922481209183895,0.0775187908161051,46.31666667,0,0,1,0.922481209183895,0.0775187908161051
"526","N38","N38_2155",388.224301619124,34.7055317463701,0.917940213698811,0.0820597863011893,46.31666667,0,0,1,0.917940213698811,0.0820597863011893
"527","N39","N39_1270_2",480.986413654432,16.0827484457888,0.967644847695166,0.0323551523048338,33.95,0,0,1,0.967644847695166,0.0323551523048338
"528","N39","N39_1646",466.52099869746,14.0764389101677,0.970710541071049,0.029289458928951,33.95,0,0,1,0.970710541071049,0.029289458928951
"529","N39","N39_1690",480.490880911021,16.0164231871466,0.967741817582648,0.0322581824173525,33.95,0,0,1,0.967741817582648,0.0322581824173525
"530","N39","N39_1866",508.699048316404,15.5963093666867,0.970252818114568,0.0297471818854323,33.95,0,0,1,0.970252818114568,0.0297471818854323
"531","N4","N4_1455",585.629592215888,349.672026779506,0.626139825188062,0.373860174811938,34.37142857,0,0,1,0.626139825188062,0.373860174811938
"532","N4","N4_1472",614.910723756921,343.581315961154,0.64153972936258,0.35846027063742,34.37142857,0,0,1,0.64153972936258,0.35846027063742
"533","N4","N4_1473",603.507551484027,344.544011001156,0.636576717306406,0.363423282693594,34.37142857,0,0,1,0.636576717306406,0.363423282693594
"534","N4","N4_1504",507.728149121576,314.130271175733,0.617780552686805,0.382219447313195,34.37142857,0,0,1,0.617780552686805,0.382219447313195
"535","N4","N4_1575",528.513617211989,331.872911368603,0.614274630826561,0.385725369173439,34.37142857,0,0,1,0.614274630826561,0.385725369173439
"536","N40","N40_1647",448.515182713002,17.7495128678506,0.961932539529421,0.0380674604705789,44.88,0,0,1,0.961932539529421,0.0380674604705789
"537","N40","N40_1649",437.061203409604,17.7018200219517,0.961074627641498,0.0389253723585025,44.88,0,0,1,0.961074627641498,0.0389253723585025
"538","N40","N40_1650",451.651583042569,16.4443986941125,0.964869600817546,0.0351303991824544,44.88,0,0,1,0.964869600817546,0.0351303991824544
"539","N40","N40_1651",461.942799655716,16.8830010814065,0.964740828385989,0.0352591716140112,44.88,0,0,1,0.964740828385989,0.0352591716140112
"540","N41","N41_1579",411.209106982192,121.239877746172,0.772297663769564,0.227702336230436,57.7,0,0,1,0.772297663769564,0.227702336230436
"541","N41","N41_1580",386.326317308622,116.5121287262,0.768291128800976,0.231708871199024,57.7,0,0,1,0.768291128800976,0.231708871199024
"542","N41","N41_1704",397.731066329556,122.188425742574,0.764985872609634,0.235014127390366,57.7,0,0,1,0.764985872609634,0.235014127390366
"543","N41","N41_1796",381.813375337818,114.395464661202,0.769461050590255,0.230538949409745,57.7,0,0,1,0.769461050590255,0.230538949409745
"544","N41","N41_2182",395.116058388179,120.887762896164,0.765723124694557,0.234276875305443,57.7,0,0,1,0.765723124694557,0.234276875305443
"545","N42","N42_1352",527.668816082065,5.95431470821367,0.98884172299766,0.0111582770023397,31.6,0,0,1,0.98884172299766,0.0111582770023397
"546","N42","N42_1353",582.452191104238,9.6904716925834,0.983634903712539,0.0163650962874608,31.6,0,0,1,0.983634903712539,0.0163650962874608
"547","N42","N42_1351",564.715249881378,8.84125337334127,0.984585209437657,0.015414790562343,31.6,0,0,1,0.984585209437657,0.015414790562343
"548","N42","N42_1341",556.613049240465,6.0254685518685,0.989290693115873,0.0107093068841271,31.6,0,0,1,0.989290693115873,0.0107093068841271
"549","N42","N42_1350",571.340153374992,9.83266289363627,0.983081344105586,0.0169186558944138,31.6,0,0,1,0.983081344105586,0.0169186558944138
"550","N46","N46_1810",352.339184608176,7.97390473913657,0.97786951133643,0.02213048866357,35,0.137533333333333,0.282100369205524,0.717899630794476,0.702012161153597,0.0158874696408782
"551","N46","N46_1808",365.880699712393,6.26956322012903,0.983153140425791,0.0168468595742087,35,0.137533333333333,0.282100369205524,0.717899630794476,0.705805276526105,0.0120943542683708
"552","N46","N46_1811",366.153584647373,7.23680338193976,0.980618667180657,0.019381332819343,35,0.137533333333333,0.282100369205524,0.717899630794476,0.703985779119164,0.0139138516753112
"553","N46","N46_1809",355.831450577538,6.04053586222697,0.983307533910939,0.0166924660890612,35,0.137533333333333,0.282100369205524,0.717899630794476,0.705916115552089,0.0119835152423863
