compound_sample,compound_number,TIC
IngU_1402_2,1940,871.000000
IngU_1402_2,1949,49163.522522
IngU_1402_2,2011,1051.348938
IngU_1402_2,2051,405.743881
IngU_1402_2,2063,6695.033356
IngU_1402_2,2122,66907.504822
IngU_1402_2,2123,54429.670532
IngU_1402_2,2128,4997.935089
IngU_1402_2,2135,61889.897522
IngU_1402_2,2139,1098.852051
IngU_1402_2,2183,14512.976807
IngU_1402_2,2211,25250.040833
IngU_1402_2,2247,10961.453796
IngU_1402_2,2278,2204.261505
IngU_1402_2,2291,28962.607605
IngU_1402_2,2307,3809.876999
IngU_1402_2,2320,10158.330200
IngU_1402_2,2368,4449.842529
IngU_1402_2,2370,7874.103302
IngU_1402_2,2408,2497.329163
IngU_1402_2,2418,3650.891571
IngU_1402_2,2438,9007.810120
IngU_1402_2,2480,56027.273315
IngU_1402_2,2513,67631.982422
IngU_1402_2,2514,7808.019958
IngU_1402_2,2517,164268.111603
IngU_1402_2,2530,17198.388657
IngU_1402_2,2560,27508.603210
IngU_1402_2,2566,15310.510803
IngU_1402_2,2571,5173.312836
IngU_1402_2,2600,6517.158997
IngU_1402_2,2626,11263.356018
IngU_1402_2,2632,1969.165527
IngU_1402_2,2668,5031.822174
IngU_1402_2,2681,28250.268921
IngU_1402_2,2703,36667.184082
IngU_1402_2,2721,16533.157166
IngU_1402_2,2746,1780.338745
IngU_1402_2,2783,7618.399811
IngU_1402_2,2792,9040.499878
IngU_1402_2,2793,6100.658691
IngU_1402_2,2795,21160.774231
IngU_1402_2,2803,1028.102570
IngU_1402_2,2806,12542.287201
IngU_1402_2,2864,11263.356018
IngU_1402_2,2873,2878.416931
IngU_1402_2,2916,20880.102905
IngU_1402_2,2950,1836.906128
IngU_1402_2,2952,9055.450958
IngU_1402_2,2984,456.803894
IngU_1402_2,3014,10760.218445
IngU_1402_2,3024,6293.440857
IngU_1402_2,3079,1607.412506
IngU_1402_2,3118,4386.332397
IngU_1402_2,3139,2883.056885
IngU_1402_2,3163,6662.800507
IngU_1402_2,3164,7751.376465
IngU_1402_2,3167,3515.328186
IngU_1402_2,3210,12488.010223
IngU_1402_2,3215,9468.195831
IngU_1402_2,3259,13963.776001
IngU_1402_2,3269,675.834045
IngU_1402_2,3413,2801.227264
IngU_1402_2,3417,6904.377594
IngU_1402_2,3443,4741.422485
IngU_1402_2,3489,11004.861633
IngU_1402_2,3502,490.327438
IngU_1402_2,3537,10885.269043
IngU_1402_2,3542,19216.259094
IngU_1402_2,3559,2265.983429
IngU_1402_2,3597,10182.225830
IngU_1402_2,3605,2870.652649
IngU_1402_2,3616,370.644958
IngU_1402_2,3636,11974.829773
IngU_1402_2,3642,1102.924591
IngU_1402_2,3667,189.744308
IngU_1402_2,3668,23264.451874
IngU_1402_2,3681,10977.457733
IngU_1402_2,3755,301.230621
IngU_1402_2,3780,3395.486206
IngU_1402_2,3812,2754.528625
