compound_sample,compound_number,TIC
DN2192_polar,97,1746.851500
DN2192_polar,101,64718.546500
DN2192_polar,115,24067.205100
DN2192_polar,121,50850.050200
DN2192_polar,154,49999.647700
DN2192_polar,168,68008.943100
DN2192_polar,181,426817.000500
DN2192_polar,201,155866.395400
DN2192_polar,207,39096.632500
DN2192_polar,212,95.067100
DN2192_polar,216,260773.493400
DN2192_polar,218,9623.177900
DN2192_polar,219,85919.631800
DN2192_polar,222,30306.531400
DN2192_polar,227,5157.918200
DN2192_polar,236,436787.937100
DN2192_polar,248,11176.802600
DN2192_polar,296,223990.657200
DN2192_polar,335,5806.972400
DN2192_polar,343,972.785700
DN2192_polar,402,24762.690400
DN2192_polar,412,29384.655300
DN2192_polar,438,2399.809800
DN2192_polar,442,43225.059500
DN2192_polar,452,25944.031800
DN2192_polar,473,15489.527000
DN2192_polar,475,1973.142600
DN2192_polar,478,462.174100
DN2192_polar,523,771.676300
DN2192_polar,529,103.615400
DN2192_polar,548,51785.342100
DN2192_polar,553,6657.401200
DN2192_polar,564,16867.186900
DN2192_polar,582,255.637200
DN2192_polar,601,3209.418500
DN2192_polar,638,9022.656000
DN2192_polar,649,1801.528700
DN2192_polar,661,2182.089600
DN2192_polar,710,90272.267100
DN2192_polar,723,12877.524600
DN2192_polar,729,35138.675100
DN2192_polar,753,3678.932900
DN2192_polar,765,638.701500
DN2192_polar,766,5160.883400
DN2192_polar,776,2301.489700
DN2192_polar,860,11470.080100
DN2192_polar,917,201.637200
DN2192_polar,925,2569.583900
DN2192_polar,935,2618.807800
DN2192_polar,937,13215.255500
DN2192_polar,941,2790.354900
DN2192_polar,1003,502.220400
DN2192_polar,1026,3895.015100
DN2192_polar,1027,9071.290100
DN2192_polar,1043,7046.114300
DN2192_polar,1211,4606.525300
DN2192_polar,1326,4305.898300
DN2192_polar,1440,979.842600
DN2192_polar,1477,192.490400
DN2192_polar,1478,4359.141900
DN2192_polar,1553,77.115000
DN2192_polar,1580,12620.024900
DN2192_polar,1605,7321.077100
DN2192_polar,1675,8922.197100
DN2192_polar,1747,107.594900
DN748_polar,17,142167.184300
DN748_polar,18,1750.309900
DN748_polar,22,25670.945600
DN748_polar,37,12328.752500
DN748_polar,67,158433.890800
DN748_polar,87,203503.418300
DN748_polar,101,173411.552900
DN748_polar,108,54.064000
DN748_polar,111,1560.538700
DN748_polar,121,171201.242100
DN748_polar,143,5707.810600
DN748_polar,154,3685.535900
DN748_polar,178,65870.687200
DN748_polar,181,338931.315200
DN748_polar,219,12195.464500
DN748_polar,222,11754.013900
DN748_polar,234,8.749900
DN748_polar,236,150039.512100
DN748_polar,248,97.130500
DN748_polar,266,84287.599600
DN748_polar,269,905.223300
DN748_polar,401,23495.737700
DN748_polar,475,2345.537500
DN748_polar,509,9516.071100
DN748_polar,537,19.796600
DN748_polar,553,857.781900
DN748_polar,554,189.771200
DN748_polar,573,5097.350400
DN748_polar,578,4761.865600
DN748_polar,648,30688.374400
DN748_polar,716,1353.575500
DN748_polar,729,3997.329600
DN748_polar,731,72774.167500
DN748_polar,778,4047.529300
DN748_polar,814,2594.431600
DN748_polar,854,14483.797100
DN748_polar,944,1309.716200
DN748_polar,988,4.381000
DN748_polar,1004,4992.859000
DN748_polar,1257,26147.056200
DN748_polar,1326,199.850100
DN625_polar,14,185528.494500
DN625_polar,15,0.000000
DN625_polar,17,178487.288500
DN625_polar,22,62161.634800
DN625_polar,26,220340.786000
DN625_polar,27,335421.342500
DN625_polar,32,6124.604400
DN625_polar,39,93941.637000
DN625_polar,60,10497.810800
DN625_polar,67,663875.922400
DN625_polar,91,0.000000
DN625_polar,93,47645.874600
DN625_polar,95,27099.080600
DN625_polar,101,39698.867900
DN625_polar,111,13036.018200
DN625_polar,121,39698.867900
DN625_polar,133,59579.768800
DN625_polar,140,0.000000
DN625_polar,153,3162.760100
DN625_polar,154,8433.678300
DN625_polar,157,80502.018600
DN625_polar,163,555988.928900
DN625_polar,181,46298.397700
DN625_polar,207,78365.571900
DN625_polar,211,2449.226200
DN625_polar,216,62455.622400
DN625_polar,218,42748.448400
DN625_polar,219,19872.972400
DN625_polar,222,19872.972400
DN625_polar,223,6200.140200
DN625_polar,224,4477.281700
DN625_polar,248,13932.485000
DN625_polar,266,0.000000
DN625_polar,270,60751.017500
DN625_polar,278,502901.933800
DN625_polar,282,708220.888800
DN625_polar,318,22726.836100
DN625_polar,329,12448.616500
DN625_polar,333,39023.787100
DN625_polar,334,21212.412900
DN625_polar,339,2449.226200
DN625_polar,378,59579.768800
DN625_polar,424,9306.166600
DN625_polar,429,68021.686400
DN625_polar,430,35387.947200
DN625_polar,438,6186.020600
DN625_polar,457,0.000000
DN625_polar,475,14650.464100
DN625_polar,490,0.000000
DN625_polar,515,30585.272500
DN625_polar,525,0.000000
DN625_polar,541,14650.464100
DN625_polar,553,26868.796100
DN625_polar,560,0.000000
DN625_polar,573,0.000000
DN625_polar,638,4615.176300
DN625_polar,649,28255.076800
DN625_polar,661,0.000000
DN625_polar,662,5579.477500
DN625_polar,681,13173.868900
DN625_polar,695,683332.710700
DN625_polar,705,24538.578900
DN625_polar,721,0.000000
DN625_polar,731,160973.988600
DN625_polar,733,0.000000
DN625_polar,828,14650.464100
DN625_polar,867,0.000000
DN625_polar,875,0.000000
DN625_polar,889,4311.790200
DN625_polar,894,0.000000
DN625_polar,898,9763.194500
DN625_polar,906,6402.421000
DN625_polar,926,0.000000
DN625_polar,928,11483.258800
DN625_polar,982,0.000000
DN625_polar,1010,18630.014000
DN625_polar,1021,28255.076800
DN625_polar,1061,5905.670000
DN625_polar,1064,0.000000
DN625_polar,1087,11652.088100
DN625_polar,1115,0.000000
DN625_polar,1122,15124.983600
DN625_polar,1132,0.000000
DN625_polar,1211,0.000000
DN625_polar,1219,13942.712400
DN625_polar,1326,0.000000
DN625_polar,1363,0.000000
DN625_polar,1406,0.000000
DN625_polar,1419,0.000000
DN625_polar,1420,4183.734500
DN625_polar,1421,0.000000
DN625_polar,1488,4462.779400
DN625_polar,1489,0.000000
DN625_polar,1492,0.000000
DN625_polar,1731,0.000000
DN1738_polar,17,277270.060000
DN1738_polar,22,4323.987000
DN1738_polar,67,644597.570800
DN1738_polar,108,754458.053800
DN1738_polar,111,25627.981800
DN1738_polar,143,1352792.505000
DN1738_polar,163,0.000000
DN1738_polar,207,1306283.984700
DN1738_polar,219,9213.576900
DN1738_polar,222,0.000000
DN1738_polar,232,14412.333600
DN1738_polar,266,0.000000
DN1738_polar,306,0.000000
DN1738_polar,329,0.000000
DN1738_polar,356,8057.853000
DN1738_polar,464,20122.295600
DN1738_polar,629,0.000000
DN1738_polar,715,202880.506800
DN1738_polar,731,14995.914200
DN1738_polar,828,4323.987000
DN1738_polar,836,0.000000
DN1738_polar,842,5260.380200
DN1738_polar,843,3183.733300
DN1738_polar,844,4839.152900
DN1738_polar,871,0.000000
DN1738_polar,874,4067.846300
DN1738_polar,888,0.000000
DN1738_polar,960,13380.585600
DN1738_polar,1716,42721.847800
DN1710_polar,17,2146094.719700
DN1710_polar,18,332948.774600
DN1710_polar,54,5319.843600
DN1710_polar,64,37924.012400
DN1710_polar,67,521270.501500
DN1710_polar,100,444731.041400
DN1710_polar,111,297819.996000
DN1710_polar,133,0.000000
DN1710_polar,168,0.000000
DN1710_polar,181,4733.633500
DN1710_polar,193,35622.289600
DN1710_polar,211,0.000000
DN1710_polar,216,0.000000
DN1710_polar,219,154336.499800
DN1710_polar,222,7146.341100
DN1710_polar,232,362348.149800
DN1710_polar,248,0.000000
DN1710_polar,329,6859.031700
DN1710_polar,378,0.000000
DN1710_polar,400,0.000000
DN1710_polar,419,0.000000
DN1710_polar,534,5319.843600
DN1710_polar,553,5465.686800
DN1710_polar,554,13601.336200
DN1710_polar,573,11403.231900
DN1710_polar,598,5635.591900
DN1710_polar,722,0.000000
DN1710_polar,731,108987.117500
DN1710_polar,803,0.000000
DN1710_polar,878,0.000000
DN1710_polar,1027,0.000000
DN1710_polar,1060,0.000000
DN1710_polar,1084,0.000000
DN1710_polar,1125,0.000000
DN1710_polar,1217,5513.324300
DN1710_polar,1326,24519.024500
DN1710_polar,1343,65136.228200
DN1710_polar,1353,0.000000
DN1710_polar,1452,16014.118100
DN1863_polar,17,672191.446100
DN1863_polar,18,0.000000
DN1863_polar,67,915224.465000
DN1863_polar,74,0.000000
DN1863_polar,100,521633.065800
DN1863_polar,111,0.000000
DN1863_polar,133,0.000000
DN1863_polar,163,0.000000
DN1863_polar,181,21070.239300
DN1863_polar,211,19967.295700
DN1863_polar,216,163650.316100
DN1863_polar,218,18372.763600
DN1863_polar,219,12833.873100
DN1863_polar,222,12833.873100
DN1863_polar,227,0.000000
DN1863_polar,261,26444.444100
DN1863_polar,264,447323.801100
DN1863_polar,283,7263.467800
DN1863_polar,318,0.000000
DN1863_polar,356,0.000000
DN1863_polar,378,0.000000
DN1863_polar,397,0.000000
DN1863_polar,438,17177.175500
DN1863_polar,478,0.000000
DN1863_polar,490,3771.648900
DN1863_polar,541,0.000000
DN1863_polar,549,150338.436500
DN1863_polar,554,0.000000
DN1863_polar,573,4020.740800
DN1863_polar,598,0.000000
DN1863_polar,638,0.000000
DN1863_polar,649,0.000000
DN1863_polar,731,93212.116500
DN1863_polar,768,0.000000
DN1863_polar,854,0.000000
DN1863_polar,860,0.000000
DN1863_polar,894,0.000000
DN1863_polar,926,4931.398600
DN1863_polar,970,0.000000
DN1863_polar,1014,0.000000
DN1863_polar,1026,0.000000
DN1863_polar,1130,0.000000
DN1863_polar,1157,0.000000
DN1863_polar,1158,3397.359000
DN1863_polar,1241,0.000000
DN1863_polar,1326,0.000000
DN1863_polar,1343,0.000000
DN1863_polar,1407,0.000000
DN1863_polar,1450,0.000000
DN727_polar,17,66636.421800
DN727_polar,22,487012.409300
DN727_polar,67,38794.998500
DN727_polar,84,3595.242300
DN727_polar,95,220054.739900
DN727_polar,101,258118.051700
DN727_polar,111,0.000000
DN727_polar,121,228912.660200
DN727_polar,133,0.000000
DN727_polar,154,0.000000
DN727_polar,164,499077.445500
DN727_polar,177,87807.933200
DN727_polar,181,87969.549000
DN727_polar,193,105665.384000
DN727_polar,207,34415.486200
DN727_polar,211,40537.393200
DN727_polar,213,37120.705800
DN727_polar,216,0.000000
DN727_polar,219,9278.193900
DN727_polar,222,9278.193900
DN727_polar,236,87969.549000
DN727_polar,248,45231.127200
DN727_polar,249,10095.770200
DN727_polar,306,9278.193900
DN727_polar,309,139191.125400
DN727_polar,328,72588.155700
DN727_polar,339,45231.127200
DN727_polar,378,0.000000
DN727_polar,382,0.000000
DN727_polar,393,17069.661800
DN727_polar,438,0.000000
DN727_polar,457,9931.185500
DN727_polar,462,0.000000
DN727_polar,464,0.000000
DN727_polar,475,11421.903400
DN727_polar,492,7584.707700
DN727_polar,534,20427.212400
DN727_polar,541,4920.926600
DN727_polar,549,0.000000
DN727_polar,553,0.000000
DN727_polar,573,0.000000
DN727_polar,598,0.000000
DN727_polar,661,8199.105700
DN727_polar,694,96075.095300
DN727_polar,721,0.000000
DN727_polar,731,30663.600800
DN727_polar,733,0.000000
DN727_polar,819,0.000000
DN727_polar,871,45184.913600
DN727_polar,889,7634.219300
DN727_polar,894,0.000000
DN727_polar,924,0.000000
DN727_polar,970,24152.963200
DN727_polar,1021,0.000000
DN727_polar,1033,0.000000
DN727_polar,1132,0.000000
DN727_polar,1177,8669.478300
DN727_polar,1189,2330.318600
DN727_polar,1227,0.000000
DN727_polar,1268,3376.039900
DN727_polar,1269,3696.061800
DN727_polar,1270,3479.141900
DN617_polar,16,725032.935600
DN617_polar,17,21644.672900
DN617_polar,18,21644.672900
DN617_polar,22,58474.985900
DN617_polar,31,119263.663600
DN617_polar,37,80500.483900
DN617_polar,52,69279.145200
DN617_polar,66,377384.800100
DN617_polar,67,68536.240100
DN617_polar,74,69041.234500
DN617_polar,101,530202.200400
DN617_polar,105,198764.510500
DN617_polar,108,106483.205300
DN617_polar,111,21644.672900
DN617_polar,121,510427.859100
DN617_polar,133,3647.556600
DN617_polar,142,120065.258600
DN617_polar,143,340374.989800
DN617_polar,154,30596.576500
DN617_polar,178,45567.853900
DN617_polar,181,54362.899700
DN617_polar,194,151277.045800
DN617_polar,207,151225.441200
DN617_polar,211,11963.921700
DN617_polar,212,0.000000
DN617_polar,216,0.000000
DN617_polar,218,493062.285800
DN617_polar,219,33160.203800
DN617_polar,222,33160.203800
DN617_polar,241,55278.484700
DN617_polar,253,27213.434500
DN617_polar,254,6622.523500
DN617_polar,266,209157.301400
DN617_polar,280,0.000000
DN617_polar,282,69041.234500
DN617_polar,295,17596.105600
DN617_polar,299,79336.225400
DN617_polar,318,40457.741700
DN617_polar,329,51852.462400
DN617_polar,371,0.000000
DN617_polar,375,0.000000
DN617_polar,378,3647.556600
DN617_polar,384,59280.172500
DN617_polar,385,70686.678700
