compound_sample,compound_number,TIC
N9_1079_NEG_MS,4623,1663.899139
N9_1079_NEG_MS,4648,1116.000000
LA8_646_2,1115,100908.130737
LA8_646_2,1303,32825.912598
LA8_646_2,1556,14122.685760
LA8_646_2,1951,6974.816956
LA8_646_2,1973,6991.067200
LA8_646_2,2128,10765.832962
LA8_646_2,2292,24314.200928
LA8_646_2,2300,1699.722748
LA8_646_2,2388,9695.767212
LA8_646_2,2410,101232.773315
LA8_646_2,2502,57431.685669
LA8_646_2,2528,5678.050629
LA8_646_2,2559,15491.430176
LA8_646_2,2810,7280.874176
LA8_646_2,2816,15251.598236
LA8_646_2,2858,25261.846985
LA8_646_2,2931,8753.264725
LA8_646_2,2977,15411.116425
LA8_646_2,3011,21356.398560
LA8_646_2,3014,3141.158325
LA8_646_2,3043,3332.467346
LA8_646_2,3084,2681.769043
LA8_646_2,3110,3736.530762
LA8_646_2,3154,2446.673492
LA8_646_2,3184,294.000000
LA8_646_2,3342,3493.140106
LA8_646_2,3352,33497.551575
LA8_646_2,3388,8793.220947
LA8_646_2,3404,3552.273544
LA8_646_2,3411,3585.343933
LA8_646_2,3585,15503.617004
LA8_646_2,3589,735.527222
LA8_646_2,3612,11112.403442
LA8_646_2,3615,207236.220215
LA8_646_2,3639,6491.439514
LA8_646_2,3655,15701.423584
LA8_646_2,3667,538.411011
LA8_646_2,3707,390.021606
LA8_646_2,3755,10491.278290
LA8_646_2,3780,3768.142334
LA8_646_2,3796,5471.946655
LA8_646_2,3797,4425.868927
LA8_646_2,3826,4941.933548
LA8_646_2,3835,8973.794922
LA8_646_2,3836,5893.316620
LA8_646_2,3869,7840.366058
LA8_646_2,3901,14810.510132
LA8_646_2,3905,3450.152954
LA8_646_2,3910,88576.327393
LA8_646_2,3922,9249.324707
LA8_646_2,3952,8156.830383
LA8_646_2,4046,10860.315674
LA8_646_2,4073,2659.245239
LA8_646_2,4106,3629.048096
LA8_646_2,4113,2897.602539
LA8_646_2,4118,4828.050568
LA8_646_2,4157,3332.467346
LA8_646_2,4176,11064.692078
LA8_646_2,4272,3509.724396
LA8_646_2,4380,3220.636444
LA8_646_2,4381,6586.424561
LA8_646_2,4417,9870.374451
LA8_646_2,4435,217226.710083
LA8_646_2,4463,2786.281921
LA8_646_2,4510,14974.468750
LA8_646_2,4518,1869.715759
LA8_646_2,4530,1356.540558
LA8_646_2,4580,10404.576935
LA8_646_2,4642,130811.929535
LA8_646_2,4684,4306.449768
T09_1260_2,521,220026.476654
T09_1260_2,1290,25592.932083
T09_1260_2,1551,47866.732117
T09_1260_2,1692,32614.356430
T09_1260_2,2128,9963.509247
T09_1260_2,2701,15068.249634
T09_1260_2,2829,16409.760742
T09_1260_2,2889,2864.258148
T09_1260_2,3014,18906.549133
T09_1260_2,3043,7061.201111
T09_1260_2,3326,3517.438019
T09_1260_2,3342,9830.042419
T09_1260_2,3411,5822.457672
T09_1260_2,3417,8095.978577
T09_1260_2,3442,1869.841675
T09_1260_2,3563,2725.824829
T09_1260_2,3590,1030.648865
T09_1260_2,3613,5767.462250
T09_1260_2,3623,2411.392883
T09_1260_2,3642,700.604736
T09_1260_2,3707,2196.494019
T09_1260_2,3743,3716.319092
T09_1260_2,3780,4740.001587
T09_1260_2,3905,2526.678589
T09_1260_2,3922,30292.325195
T09_1260_2,4153,4160.073456
T09_1260_2,4157,7061.201111
T09_1260_2,4381,9720.869873
T09_1260_2,4463,1691.323975
T09_1260_2,4521,8371.426056
T09_1260_2,4642,38183.252136
LA20a_1729_2,92,3374913.288406
LA20a_1729_2,502,2927225.157654
LA20a_1729_2,841,515820.998169
LA20a_1729_2,1032,417975.571960
LA20a_1729_2,1308,35795.738403
LA20a_1729_2,1542,33981.066406
LA20a_1729_2,1695,9287.447174
LA20a_1729_2,1701,5538.774414
LA20a_1729_2,1736,160805.332886
LA20a_1729_2,1766,54045.324738
LA20a_1729_2,1767,101015.948303
LA20a_1729_2,1846,42397.459137
LA20a_1729_2,1874,48488.671112
LA20a_1729_2,2058,143455.957367
LA20a_1729_2,2060,41329.808685
LA20a_1729_2,2067,2605.601257
LA20a_1729_2,2081,11243.220642
LA20a_1729_2,2128,42837.785492
LA20a_1729_2,2138,26364.940979
LA20a_1729_2,2261,57572.240234
LA20a_1729_2,2278,18828.401672
LA20a_1729_2,2300,8351.448669
LA20a_1729_2,2446,43997.645111
LA20a_1729_2,2506,33882.240601
LA20a_1729_2,2635,46549.140076
LA20a_1729_2,2737,4034.928864
LA20a_1729_2,2782,10330.782471
LA20a_1729_2,2826,40454.646240
LA20a_1729_2,2871,16641.867920
LA20a_1729_2,3003,62993.174255
LA20a_1729_2,3004,110763.324127
LA20a_1729_2,3014,20213.529114
LA20a_1729_2,3030,12192.737335
LA20a_1729_2,3033,123235.278076
LA20a_1729_2,3055,15970.406433
LA20a_1729_2,3072,126476.295471
LA20a_1729_2,3079,23914.541626
LA20a_1729_2,3081,27388.024689
LA20a_1729_2,3141,2994.946350
LA20a_1729_2,3176,3466.026764
LA20a_1729_2,3217,5268.350922
LA20a_1729_2,3271,5530.614563
LA20a_1729_2,3278,3338.536499
LA20a_1729_2,3279,10491.874176
LA20a_1729_2,3294,7213.562683
LA20a_1729_2,3308,3935.787628
LA20a_1729_2,3310,8190.971191
LA20a_1729_2,3335,3117.252716
LA20a_1729_2,3351,3872.242920
LA20a_1729_2,3371,1817.847137
LA20a_1729_2,3384,621.658997
LA20a_1729_2,3386,1147.135284
LA20a_1729_2,3417,5669.208313
LA20a_1729_2,3475,1893.166031
LA20a_1729_2,3514,3997.902405
LA20a_1729_2,3585,1605.145081
LA20a_1729_2,3589,3744.194153
LA20a_1729_2,3621,2340.934875
LA20a_1729_2,3642,25038.571777
LA20a_1729_2,3662,7567.759888
LA20a_1729_2,3673,9814.511169
LA20a_1729_2,3693,5762.351135
LA20a_1729_2,3702,1293.069580
LA20a_1729_2,3722,3154.423584
LA20a_1729_2,3847,5068.456177
LA20a_1729_2,3849,15750.490387
LA20a_1729_2,3862,854.108307
LA20a_1729_2,3863,15538.783325
LA20a_1729_2,3942,1645.249023
LA20a_1729_2,3958,1019.718262
LA20a_1729_2,3968,9747.073456
LA20a_1729_2,4032,2008.148315
LA20a_1729_2,4063,1064.117188
LA20a_1729_2,4072,2083.728271
