compound_number,feature_number,TIC,mz,rt
7,243,2200061.362190,648.091204,4.909090
7,244,293370.721097,649.094019,4.909053
7,265,140882.404820,1295.193724,4.849241
7,266,51653.830040,1296.196700,4.814245
7,432,11519.304720,180.066020,4.901147
7,668,700.289340,687.140466,4.957706
7,1183,40709.089840,191.055417,4.953868
7,1751,10408.258730,248.036823,4.940154
7,1774,28251.240640,169.013426,4.707049
7,2114,123588.305580,321.023771,4.871390
7,2209,16306.256620,647.144650,4.818475
7,648,22124.213860,323.038699,5.017365
7,1282,5404.156500,333.061125,4.904000
7,3038,2080.772200,185.008225,4.914600
7,1750,141241.342760,247.034085,5.182823
7,2192,22861.788640,160.007900,5.214400
7,2197,741.429240,236.013000,5.219000
7,2199,476.796440,303.012700,5.215400
7,1775,0.000000,323.038500,4.892000
7,429,125277.172060,163.039629,4.897879
7,41,6054.056233,245.092949,4.635787
7,1181,2538.291300,951.434900,4.735900
8,689,3643.954420,913.183656,6.347942
8,985,1120.428700,914.185815,6.369825
8,2866,8267.405360,323.097600,6.371200
8,2885,52563.811700,560.281000,6.365900
8,2886,26514.420060,560.782900,6.369400
8,2887,6600.097700,561.284300,6.365800
8,2892,138859.309440,583.283400,6.369400
8,2893,74768.350080,583.785300,6.369400
8,2894,22892.045700,584.287400,6.369500
8,2901,9626.002640,606.286600,6.360500
8,2902,4001.275820,606.789400,6.371200
8,2984,29753.872320,1121.575500,6.369400
8,2985,12564.365060,1122.071700,6.369400
8,2986,16599.292100,1122.578600,6.367700
8,2988,848.086220,1145.072200,6.373000
8,2990,10387.447440,1167.587700,6.365800
8,2991,3919.813480,1168.588000,6.367700
9,1072,2266.234580,870.418700,5.783700
9,1078,2906.609380,875.908200,5.772800
